"No","Não"
"Yes","Sim"
"Clique sobre a forma de pagamento desejada para visualizar mais informações:","Clique sobre a forma de pagamento desejada para visualizar mais informações:"
"Exibir Informações de Pagamento","Exibir Informações de Pagamento"
"Configurações","Configurações"
"Enabled","Habilitado"
"Habilitado na listagem de produtos (Bloco direito)","Habilitado na listagem de produtos (Bloco direito)"
"Habilitado na listagem de produtos (Bloco esquerdo)","Habilitado na listagem de produtos (Bloco esquerdo)"
"Habilitado no detalhamento de produtos","Habilitado no detalhamento de produtos"
"Visa","Visa"
"Mastercard","Mastercard"
"American Express","American Express"
"Diners","Diners"
"Hipercard","Hipercard"
"BNDES","BNDES"
"Sorocred","Sorocred"
"Aura","Aura"
"Maximum number of installments","Número máximo de parcelas"
"Installment minimun value","Valor mínimo da parcela"
"Interest percentage","Percentual de juro"
"Interest type","Tipo de juro"
"Show interest information","Exibir informações sobre juros"
"Bank Slip","Boleto Bancário"
"Bank Deposit","Depósito Bancário"
"Bank Transfer","Transferência Bancária"
"Discount type","Tipo de desconto"
"Discount value","Valor do desconto"
"Show discount information","Exibir informações sobre descontos"
"Cost per bank slip","Custo por boleto bancário"
"Label","Rótulo"
