"Apply points","Pagar com pontos"
"Remove points","Pagar em reais"
"This purchase cannot be paid with points because it has one or more products on promotion. For more information, see our %s.","Este pedido não pode ser pago com pontos porque possui um ou mais produtos em promoção.
Para maiores informações, consulte %s."
"This purchase cannot be paid with points because there are a coupon being applied. For more information, see our. For more information, see our %s.","Este pedido não pode ser pago com pontos porque existe um cupom sendo aplicado.
Para maiores informações, consulte %s."
"This purchase cannot be paid with points because it has one or more discount in cart. For more information, see our %s.","Este pedido não pode ser pago com pontos porque possui um ou mais descontos no carrinho. Para maiores informações, consulte %s."
"This purchase cannot be paid with points because it has one or more products with discount per quantity. For more information, see our %s.","Este pedido não pode ser pago com pontos porque possui um ou mais produtos com desconto por quantidade. Para maiores informações, consulte %s."
"You have %s points","Você tem %s pontos"
"You do not have enough points to apply","Você não tem pontos suficientes para aplicar"
"To pay with cash, please go back to the cart and change this option","Para pagar em dinheiro, por favor volte ao carrinho e altere esta opção"
"After purchase you will still get %s points","Após a compra você ainda vai ter %s pontos"
"Updating points information...","Atualizando as informações de pontos..."
"Updating totals information...","Atualizando as informações do total..."
"Updating shipping methods information...","Atualizando as informações dos métodos de envio..."
"You Will Earn:","Você irá ganhar:"
"%s Points","%s Pontos"
"Your session has expired. Please refresh the page.","Sua sessão expirou. Por favor, atualize a página."
"My Points","Meus Pontos"
"You have %s points available in your account.","Voce tem %s pontos disponíveis em sua conta."
"%s points are waiting for approval.","%s pontos estão aguardando aprovação."
"Summary of points","Resumo dos pontos"
"Order Id","Id do Pedido"
"Date","Data"
"Points","Pontos"
"Prescribed","Prescrito"
"Approved","Aprovado"
"Waiting for approval","Aguardando aprovação"
"Spent","Gastou"
"View Order","Visualizar Pedido"
"Historic of points","Histórico dos pontos"
"Spending points","Pontos gastos"
"You have no earned points.","Você ainda não ganhou pontos."
"You have no spending points.","Você ainda não gastou pontos."
"You no have points.","Você não possui pontos"
"You no have points to prescribe.","Você não possui pontos a prescrever"
"You no have points waiting for approval","Você não possui pontos aguardando por aprovação"
"Extract of points","Extrato dos pontos"
"Date of prescription","Data de Prescrição"
"Used","Usado"
"Available","Disponível"
"Prescribed","Prescrito"
"Points to prescribe","Pontos a prescrever"
"Visit My Points Section","Ver Meus Pontos"
"You Will Earn: %s Points","Você irá ganhar: %s Pontos"
"or %s points","ou %s pontos"
"When buying this product you earn","Na compra deste produto você ganha"
"%s points","%s pontos"
"Warning about the points","Aviso sobre os pontos"
"Due to promotion you can not buy this product with points","Devido à promoção não é possível pagar este produto com pontos."
"Login to view and apply your points","Faça login para visualizar e aplicar seus pontos"
"You won %s points. Wait for approval to use your points.","Você ganhou %s pontos. Aguarde a aprovação para utilizar seus pontos."
"Discount per points","Desconto por pontos"
"An error occured while trying to process shopping cart points rules.<br/>Discounts have been reset as a result.","Ocorreu um erro ao tentar processar as regras de pontos do carrinho.<br/>Descontos foram resetados."
"Insufficient Points.","Pontos insuficientes"
"Comment","Comentário"
"Points of order were prescribed","Pontos do pedido foram prescritos"
"Points earned from order","Pontos ganhos no pedido"
"Approving of points","Aprovação de pontos"
"Points waiting for approval","Pontos aguardando por aprovação"
"Not Approved, order was canceled","Não aprovado, pedido foi cancelado"
"Refunded, order was canceled","Reembolsado, pedido foi cancelado"
"Points spent on order","Pontos gastos no pedido"
"You will not earn points for this order","Você não ganhará pontos para este pedido"
