"Manage Itau ShopLine Transactions","Gerenciar Transações do Itau ShopLine"
"Inovarti Itau ShopLine Section","Seção de Pagamentos da Inovarti"
"Itau ShopLine Transactions Manager","Gerenciador de Transações do Itau ShopLine"
"Number","Número"
"Amount","Quantia"
"Submit","Enviar"
"Code","Codigo Loja"
"Key","Chave"
"Enabled","Habilitado"
"Title","Titulo do modulo"
"Query","Consultar"
"View Item '%s'","Visualizar Item '%s'"
"New Order Status","Status dos Novos Pedidos"
"Itau ShopLine Types","Tipos do Itau ShopLine"
"Payment Applicable From","Pagamentos aplicáveis a partir de"
"Itau ShopLine - Settings","Itau ShopLine - Ajustes"
"Submit URL","URL de Envio"
"Query URL","URL de Consulta"
"Return URL","URL de Retorno"
"Key","Chave"
"Expiration (days)","Qnt dias para expiração do boleto"
"Observation","Observação"
"Additional Observation 1","Observações Adicionais 1"
"Additional Observation 2","Observações Adicionais 2"
"Additional Observation 3","Observações Adicionais"
"Type","Tipo"
"Itau ShopLine - Submit Transaction","Gerar 2 via do Boleto"
"Submit this transaction","Gerar 2 via do Boleto"
"Itau ShopLine - Query Transaction","Consultar Pagamento"
"Query this transaction","Consultar Pagamento"
"Itau Slip","Boleto"
"Itau TEF","Transferência Eletrônica"
"Unable to generate submit transaction code. Please check your settings.","Não foi possível gerar o código de transação para envio. Por favor, verifique as suas configurações."
"Unable to generate query transaction code. Please check your settings.","Não foi possível gerar o código de transação para consulta. Por favor, verifique as suas configurações."
"Hmmm... We found a pop-up blocker in your web browser.","Hummm... Encontramos um bloqueador de pop-ups ativo em seu navegador."
"Please disable your pop-up blocker for this site and click on 'Submit' link again.","Por favor, desative o seu bloqueador de pop-ups para este site e clique no link 'Pagar' novamente."
"Order ID Increment","Incremento para o ID do Pedido"
"Cancellation Email Template","Template de cancelamento de pedido"
