"Image File","Caminho da imagem"
"<small>(Only in category)</small>","<small>(Apenas em categoria)</small>"
"Show in","Mostrar em"
"Show in product detail","Mostrar no detalhe do produto"
"General information","Informações gerais"
"Edit Banner '%s'","Editar Banner '%s'"
"Display in Categories","Exibir nas categorias"
"Delete Banner","Deletar Banner"
"Save Banner","Salvar Banner"
"Save And Continue Edit","Salvar e Continuar Editando"
"Manage Banners","Gerenciar Banners"
"Enabled","Ativado"
"Html Content","Conteúdo Html"
