"Auto-Complete Shipping - by Mario SAM","Auto-Completar Endereço - by Mario SAM"
"Base Consult (URL)","Buscar na Base (URL)"
"Turn On Module","Habilitar Módulo"
"You should use 4 lines in field shipping the configuracion of the name and client shipping.","Você deve usar 4 linhas no campo endereço das configurações de nome e endereço do cliente."
"Show Country","Mostrar Campo País"
"Number","Número"
"Completion","Complemento"
"Region","Bairro"
"Dont know the cep?","n&atilde;o sabe o cep?"
"Loading...","Carregando..."
